brandLabel,productLabel,industryLabel,countryLabel
Aaroh,Patriot,Technology Industry,India
Aaroh,Software,Technology Industry,India
Aaroh,Website,Software Industry,India
Ab Volvo,Bus,Automotive Industry,Sweden
Ab Volvo,Heavy Equipment,Automotive Industry,Sweden
Ab Volvo,Truck,Automotive Industry,Sweden
Aba League Jtd,Aba League,Sport Industry,Croatia
Aba League Jtd,Aba League Second Division,Sport Industry,Croatia
Aba League Jtd,Aba League Supercup,Sport Industry,Croatia
Abacus Federal Savings Bank,Bank,Financial Services,United States
Abanca,Financial Services,Financial Sector,Spain
Abarth,Sports Car,Automotive Industry,Italy
Abax,Driver'S Log,Telematics,Norway
Abax,Fleet Controlling,Telematics,Norway
Abbey Panels Ltd,Coachbuilder,Automotive Industry,United Kingdom
Abbotsford Motorcycles,Motorcycle,Motorcycle,Australia
Abbvie,Medical Treatment,Pharmaceutical Industry,United States
Abbvie,Medication,Biotechnology,United States
Abc,Car,Automotive Industry,United States
Abc,Tractor,Automotive Industry,United States
Abc,Truck,Automotive Industry,United States
Abcam,Antibody,Biotechnology,United Kingdom
Abchus,Prefabricated Home,Construction,Norway
Abdullah Alothaim Markets,Hypermarket,Retail,Saudi Arabia
Abebooks,Fine Art,E-Commerce,Germany
Abeking & Rasmussen,Motor Yacht,Shipbuilding,German Reich
Abeking & Rasmussen,Research Vessel,Arms Industry,Germany
Abeking & Rasmussen,Ship,Shipbuilding,Germany
Abeking & Rasmussen,Warship,Arms Industry,Germany
Abeking & Rasmussen,Yacht,Arms Industry,Germany
Abertis,Toll Road,Conglomerate,Spain
Aberystwyth And Tregaron Bank,Loan,Bank,United Kingdom
Abgent,Antibody,Industrial Manufacturing,United States
Abic Books And Equipment Ltd.,Book,Publishing,Nigeria
Abiprint Publishing Co. Ltd.,Books,Publishing,Nigeria
Ableton,Ableton Live,Music Software,Germany
Ableton,Ableton Push,Music Software,Germany
Ablex Publishing,Book,Publishing,United States
Abm Industries,Facility Management,Facility Management,United States
Abm-Media,Bok Og Bibliotek,Publishing House,Norway
Abm-Media,Q11990227,Publishing House,Norway
Abm-Media,Tidsskriftet Arkiv,Publishing House,Norway
Aboki Publishers,Books,Publishing,Nigeria
Abound Solar,Solar Panel,Industrial Manufacturing,United States
Abrams Books,Art Book,Publishing Industry,United States
Abrams Books,Children'S Book,Publishing Industry,United States
Abrau-Durso,Champagne,Winemaking,Russia
Abrau-Durso,Sparkling Wine,Winemaking,Russia
Abs Aerolight,Flying Car,Aerospace,France
Abs Aerolight,Powered Parachute,Aerospace,France
Abs Capital Partners,Venture Capital,Financial Services,United States
Abs Friction Inc.,Brake,Automotive Part,Canada
Abs-Cbn Convergence,Abs-Cbn Tv Plus,Telecommunications,Philippines
Abs-Cbn Corporation,Film,Mass Media,Philippines
Abs-Cbn Corporation,Music,Mass Media,Philippines
Abs-Cbn Corporation,Television Show,Mass Media,Philippines
Abs-Cbn Corporation,Web Portal,Mass Media,Philippines
Absolom Motorcycles,Motorcycle,Motorcycle,Australia
Absolute Entertainment,Console Game,Video Game Industry,United States
Abu Dhabi Commercial Bank,Financial Services,Banking,United Arab Emirates
Abu Dhabi Mar,Ship,Shipbuilding,United Arab Emirates
Abu Dhabi Media,Television Program,Mass Media,United Arab Emirates
Abu Zaghleh Restaurants,Fast Food,Food Service,Jordan
Academy Sports + Outdoors,Sports Equipment,Retail,United States
Acadia Pharmaceuticals,Pimavanserin,Pharmaceutical Industry,United States
Acba Bank,Commercial Bank,Financial Services,Armenia
Acba Bank,Credit Card,Financial Services,Armenia
Acba Bank,Investment Banking,Financial Services,Armenia
Acba Bank,Mortgage,Financial Services,Armenia
Acba Bank,Retail Banking,Financial Services,Armenia
Accel,Venture Capital,Venture Capital,United States
Accelereyes,Software,Supercomputer,United States
Access,Palm Os,Video Game Industry,Japan
Access,Q595374,Smart Tv,Japan
Access Bank,Financial Services,Bank,Azerbaijan
Access Bank,Loan,Bank,Nigeria
Access Media Group,Mass Media,Media,Canada
Access Systems Americas,Information Technology,Software Industry,United States
Accessible Media,Broadcasting,Broadcasting,Canada
Acciona,Infrastructure,Construction,Spain
Acciona Energía,Renewable Energy,Energy Industry,Spain
Acclaim Games,Massively Multiplayer Online Role-Playing Game,Video Game Industry,United States
Acco Brands,Software,Industrial Manufacturing,United States
Accolade,Software,Health Technology,United States
Accton,Network Switch,Electronics Industry,Taiwan
Accton Technology Corporation,Broadband,Electronics Industry,Taiwan
Accton Technology Corporation,Network Interface Controller,Electronics Industry,Taiwan
Accton Technology Corporation,Network Switch,Electronics Industry,Taiwan
Accton Technology Corporation,Wireless Network,Electronics Industry,Taiwan
Accuphase,High-End Audio,Consumer Electronics Industry,Japan
Accuracy International,Firearm,Weapons Industry,United Kingdom
Accurate Miniatures,Scale Model,Game Industry,United States
Ace,Car,Automotive Industry,United States
Acea,Energy Supply,Energy Industry,Italy
Acea,Gas Supplier,Energy Industry,Italy
Acea,Waste Management,Energy Industry,Italy
Acea,Water Supply,Energy Industry,Italy
Aceitera General Deheza,Oil,Food Industry,Argentina
Acena Publishers Ltd.,Book,Publishing,Nigeria
Acer,Computer,Information Technology Industry,Taiwan
Acer,Computer Hardware,Information Technology Industry,Taiwan
Acer,Computer Monitor,Computer Hardware Industry,Taiwan
Acer,Smartphone,Information And Communications Industry,Taiwan
Acer,Software,Information Technology Industry,Taiwan
Acer,Tablet Computer,Computer Hardware Industry,Taiwan
Acer,Television,Information Technology Industry,Taiwan
Acer Inc.,Computer Data Storage,Electronics Industry,Taiwan
Acer Inc.,Computer Monitor,Electronics Industry,Taiwan
Acer Inc.,Electronic Business,Electronics Industry,Taiwan
Acer Inc.,Light-Emitting Diode,Electronics Industry,Taiwan
Acer Inc.,Liquid-Crystal Display,Electronics Industry,Taiwan
Acer Inc.,Mobile Device,Electronics Industry,Taiwan
Acer Inc.,Personal Computer,Electronics Industry,Taiwan
Acer Inc.,Server (Computing),Electronics Industry,Taiwan
Acer Inc.,Smartphone,Electronics Industry,Taiwan
Acer Inc.,Television,Electronics Industry,Taiwan
Acer Inc.,Video Projector,Electronics Industry,Taiwan
Acerbis,Association Football Ball,Textile Industry,Italy
Acerbis,Bag,Textile Industry,Italy
Acerbis,Clothing,Textile Industry,Italy
Acerbis,Glove,Textile Industry,Italy
Acerbis,Helmet,Textile Industry,Italy
Acerbis,Racing Suit,Textile Industry,Italy
Acerinox,Stainless Steel,Iron And Steel Industry,Spain
Aces High Light Aircraft,Homebuilt Aircraft,Aerospace Industry,Canada
Achmea Holding Nv,Insurance,Financial Services,Netherlands
Acindar,Steel,Iron And Steel Industry,Argentina
Acla Rheinische Maschinenleder Und Riemenfabrik,Polyester Urethane Rubber,Tanning And Dressing Of Leather; Dressing And Dyeing Of Fur,German Reich
Acme Brick,Brick,Industrial Manufacturing,United States
Acme Comics & Collectibles,Comics,Retail,United States
Acme Fresh Market,Pharmacy,Grocery Store,United States
Acne Studios,Clothing,Textile Industry,Sweden
Acorn Computers,Computer Hardware,Retail,United Kingdom
Acorn Media Uk,Dvd,Retail,United Kingdom
Acorn Stores,Clothing,Retail,United States
Acotel Group,Telecommunications,Telecommunications,Italy
Acron Group,Fertilizer,Chemical Industry,Russia
Acronis,Acronis Antivirus,Software Industry,Singapore
Acronis,Acronis Backup,Computer Security,Singapore
Acronis,Acronis Backup & Recovery,Computer Security,Singapore
Acronis,Acronis Disk Director Home,Software Industry,Singapore
Acronis,Acronis True Image,Software Industry,Singapore
Act (For-Profit Organization),Act (Test),Standardized Test,United States
Actel,Field-Programmable Gate Array,Integrated Circuit,France
Action Button Entertainment,Videoball,Video Game Industry,United States
Action Button Entertainment,Ziggurat (Video Game),Video Game Industry,United States
Action Lab Comics,Comic Book,Comics Industry,United States
Action Sport Networks,Film,Television,United States
Action Target,Shooting Range,Industrial Manufacturing,United States
Actions Technology,System On A Chip,Electronic Component,People'S Republic Of China
Activ Solar,Polycrystalline Silicon,Solar Power,Ukraine
Activestate,Activeperl,Software Industry,Canada
Activision Blizzard,Q211096,Video Game Industry,United States
Actuate Corporation,Birt Project,Software Industry,United States
Acumed,Medical Device,Industrial Manufacturing,United States
Adam & Eve,Pornographic Film,Online Shop,United States
Adam & Eve,Sex Toy,Online Shop,United States
Adam Aircraft Industries,Aircraft,Aerospace Industry,United States
Adam Foods,Birba Biscuits,Food Industry,Spain
Adam Foods,Cake,Food Industry,Spain
Adam Foods,Cookie,Food Industry,Spain
Adam Foods,Cuétara,Food Industry,Spain
Adam Foods,Granja San Francisco,Food Industry,Spain
Adam Foods,La Piara,Food Industry,Spain
Adam Foods,Pan Loaf,Food Industry,Spain
Adam Foods,Panrico,Food Industry,Spain
Adam Foods,Pâté,Food Industry,Spain
Adam Foods,Q8205751,Food Industry,Spain
Adam Foods,Q9059131,Food Industry,Spain
Adam Internet,Broadband,Telecommunications,Australia
Adama Agricultural Solutions Ltd.,Fungicide,Chemical Industry,Israel
Adama Agricultural Solutions Ltd.,Herbicide,Chemical Industry,Israel
Adama Agricultural Solutions Ltd.,Insecticide,Chemical Industry,Israel
Adama Agricultural Solutions Ltd.,Nematicide,Chemical Industry,Israel
Adama Agricultural Solutions Ltd.,Plant Protection,Chemical Industry,Israel
Adama Agricultural Solutions Ltd.,Seed Treatment,Chemical Industry,Israel
Adams Cable,Cable Television,Telecommunications,United States
Adams Drug Company,Medication,Retail,United States
Adams Musical Instruments,Brass Instrument,Musical Instrument,Netherlands
Adams Musical Instruments,Percussion Instrument,Musical Instrument,Netherlands
Adani Energy Solutions,Electric Power Transmission,Electricity Supply Company,India
Adani Group,Commodities Market,Conglomerate,India
Adani Group,Food Product,Conglomerate,India
Adaptec,Host Adapter,Computer Data Storage,United States
Adaptec,Raid,Computer Data Storage,United States
Adaptec,Software,Computer Hardware Industry,United States
Adapteva,Central Processing Unit,Semiconductor Industry,United States
Adc Telecommunications,Networking Hardware,Telecommunications,United States
Adcash,Online Advertising,Information Technology,Estonia
Adcor Defense,Rifle,Weapons Industry,United States
Addiko Bank,Commercial Bank,Financial Services,Austria
Adelaide Brighton Cement,Cement,Construction,Australia
Adelphia Communications Corporation,Cable Television,Telecommunications,United States
Ader Error,Clothing,Clothing Industry,South Korea
Ader Error,Fashion Accessory,Clothing Industry,South Korea
Adess Ag,Racing Automobile,Automotive Industry,Germany
Adevărul Holding,Adevărul,Publishing,Romania
Adidas Ag,Footwear,Sports Industry,Germany
Adidas Ag,Personal Care Product,Sports Industry,Germany
Adidas Ag,Sports Equipment,Textile Industry,Germany
Adidas Ag,Sportswear,Sports Industry,Germany
Adient Czech Republic,Car Seat,Automotive Industry,Czech Republic
Administradora Coahuilense De Infraestructura Y Transporte Aéreo,Airport,Aviation,Mexico
Admirals,Electronic Trading Platform,Financial Services,Estonia
Adobe,Software,Information Technology,United States
Adolf Darbo Ag,Fruit Preparation,Food Industry,Austria
Adolf Darbo Ag,Honey,Food Industry,Austria
Adolf Darbo Ag,Jam,Food Industry,Austria
Adolf Darbo Ag,Syrup,Food Industry,Austria
Adonit,Stylus,Input Device,Taiwan
Adopt,Cosmetics,Retail Sale Of Perfumery And Beauty Products In Specialized Stores,France
Adopt,Perfume,Retail Sale Of Perfumery And Beauty Products In Specialized Stores,France
Adox,Photographic Film,Manufacture Of Other Chemical Products N.E.C.,Germany
Adox,Photographic Paper,Manufacture Of Other Chemical Products N.E.C.,German Reich
Adtran,Networking Hardware,Telecommunications,United States
Adtranz,Train,Railway,Germany
Adva Optical Networking Se,Wavelength-Division Multiplexing,Telecommunications,Germany
Advance Developing Markets Trust,Emerging Market,Investment,United Kingdom
Advance Developing Markets Trust,Investment,Investment,United Kingdom
Advance Thun,Paragliding,Aerospace,Switzerland
Advanced American Telephones,At&T,Telephone,United States
Advanced Armament Corporation,Firearm,Weapons Industry,United States
Advanced Digital Broadcast,Set-Top Box,Television,Switzerland
Advanced Digital Information Corporation,Vehicle Audio,Software Industry,United States
Advanced Info Service,Cellular Network,Telecommunications,Thailand
Advanced Media Broadcasting System,All Tv,Broadcasting,Philippines
Advanced Media Broadcasting System,Dwow,Broadcasting,Philippines
Advanced Mobile Phone Service,Advanced Mobile Phone System,Telecommunications,United States
Advantage Oil & Gas,Oil,Petroleum Industry,Canada
Adverif.Ai,Advertising,Advertising,Israel
Advisors Portugal,Golden Visa,Professional Services Industry,Portugal
Advocare,Dietary Supplement,Food Industry,United States
Aeg,Car,Automotive Industry,Germany
Aeg,Electrical Energy,Automotive Industry,Germany
Aeg,Home Appliance,Electrical Industry,Germany
Aeg,Military Aircraft,Electrical Industry,Germany
Aegis Protocol,Probiotics,Dietary Supplements,India
Aegon Uk,Pension,Insurance,United Kingdom
Aerated Bread Company,Baking,Bakery,United Kingdom
Aercap,Aircraft Lease,Aerospace Industry,Ireland
Aeria Games,Shaiya,Video Game Industry,United States
Aerion,Supersonic Business Jet,Aerospace Industry,United States
Aero At,Ultralight Aviation,Aerospace Industry,Poland
Aero Designs,Homebuilt Aircraft,Aerospace Industry,United States
Aero East Europe,Light Aircraft,Aerospace,Serbia
Aero East Europe,Ultralight Aviation,Aerospace,Serbia
Aero Nord,Flight Training,Aerospace,France
Aero Nord,Paramotor,Aerospace,France
Aero Vodochody Aerospace,Aero L-159 Alca,Aerospace Industry,Czech Republic
Aero Vodochody Aerospace,Aero L-29 Delfin,Aerospace Industry,Czech Republic
Aero Vodochody Aerospace,Aero L-39 Albatros,Aerospace Industry,Czech Republic
Aero Vodochody Aerospace,Aero L-60 Brigadýr,Aerospace Industry,Czech Republic
Aero Vodochody Aerospace,L-39 Skyfox,Aerospace Industry,Czech Republic
Aero-Service Jacek Skopiński,Boat,Aerospace,Poland
Aero-Service Jacek Skopiński,Electric Transportation Technology,Aerospace,Poland
Aero-Service Jacek Skopiński,Electric Vehicle,Aerospace,Poland
Aero-Service Jacek Skopiński,Ultralight Aviation,Aerospace,Poland
Aero-Service Jacek Skopiński,Vehicle Electrification,Aerospace,Poland
Aeroalcool,Airplane,Aerospace Industry,Brazil
Aeroandina,Autogyro,Aerospace Industry,Colombia
Aerocar,Car,Automotive Industry,United States
Aerochute International,Homebuilt Aircraft,Aerospace,Australia
Aerochute International,Powered Parachute,Aerospace,Australia
Aerodreams,Unmanned Aerial Vehicle,Aerospace Industry,Argentina
Aerodyne Technologies,Paragliding,Aerospace,France
Aerofarms,Aeroponics,Industrial Agriculture,United States
Aerojet,Rocket Engine,Aerospace Industry,United States
Aerojet Rocketdyne,Rocket Engine,Aerospace Industry,United States
Aerolux Light Corporation,Gas-Discharge Lamp,Lighting,United States
Aeromere/Capriolo,Motorcycle,Automotive Industry,Italy
Aeronautics Defense Systems,Unmanned Aerial Vehicle,Weapons Industry,Israel
Aeroplanes Dar,Homebuilt Aircraft,Aerospace,Bulgaria
Aeroprakt,Homebuilt Aircraft,Aerospace Manufacturer,Ukraine
Aeroprakt,Light Aircraft,Aviation,Ukraine
Aeroprakt,Ultralight Aviation,Aerospace Manufacturer,Ukraine
Aeropuertos Y Servicios Auxiliares,Airport,Aviation,Mexico
Aerosila,Aircraft Propeller,Aircraft Industry,Russia
Aerospacelab,Artificial Satellite,Geospatial Industry,Belgium
Aerospike,Aerospike Database,Nosql Database Management System,United States
Aerospool,Homebuilt Aircraft,Aerospace,Slovakia
Aerospool,Ultralight Aviation,Aerospace,Slovakia
Aerosport Oy,Powered Parachute,Aerospace,Estonia
Aerosport Oy,Powered Paragliding,Aerospace,Estonia
Aerostar,Category:Aerostar Aircraft,Aerospace Industry,Romania
Aerotec,Aircraft,Aerospace Industry,Brazil
Aes Corporation,Electricity,Electricity Generation,United States
Aes Ohio,Electricity,Electric Power Industry,United States
Aes Tietê,Electrical Energy,Electric Power Industry,Brazil
Aethel Mining,Iron Ore,Mining,United Kingdom
Aetna,Health Insurance,Insurance,United States
Afem Publishers Limited,Book,Publishing,Nigeria
Affco Holdings,Beef,Meat-Packing Industry,New Zealand
Affco Holdings,Fur,Meat-Packing Industry,New Zealand
Affco Holdings,Lamb And Mutton,Meat-Packing Industry,New Zealand
Affco Holdings,Veal,Meat-Packing Industry,New Zealand
Affiliated Foods Midwest,Grocery Store,Retail,United States
Affiliated Foods Southwest,Grocery Store,Retail,United States
Affiliated Managers Group,Investment,Financial Services,United States
Affin Bank,Financial Services,Bank,Malaysia
Affinity Water,Drinking Water,"Water Collection, Treatment And Supply",United Kingdom
Affirm Films,Film,Cinematography,United States
Affix Works,Clothing,Clothing Industry,United Kingdom
Affordable Home Care,Home Care,Home Care,United States
Africa Christian Textbooks (Acts),Book,Publishing,Nigeria
African Bank Limited,Bank,Financial Services,South Africa
African Cultural Institute,Book,Publishing,Nigeria
African Liberty-Org,Book,Publishing,Nigeria
African University Press (Aup) Ltd.,Book,Publishing,Nigeria
Africana-First (Nig.) Ltd.,Book,Publishing,Nigeria
Africloud,Virtual Private Server,Web Hosting Service,United States
Afrigen,Vaccine,Biotechnology,South Africa
Afriprise Ltd,Book,Publishing,Nigeria
After Six,Tuxedo,Clothing Industry,United States
Ag-Chem Equipment,Agricultural Machinery,Industrial Manufacturing,United States
Against All Odds,Clothing,Retail,United States
Agat-Control Systems,Carputer,Electronics Industry,Belarus
Agat-Control Systems,Cross-Platform Software,Electronics Industry,Belarus
Agat-Control Systems,Electronic Seal,Electronics Industry,Belarus
Agat-Control Systems,Industrial Control System,Electronics Industry,Belarus
Agat-Control Systems,Mobile App,Electronics Industry,Belarus
Agat-Control Systems,Mobile Robot,Electronics Industry,Belarus
Agat-Control Systems,Printed Circuit Board,Electronics Industry,Belarus
Agat-Control Systems,Unmanned Aerial Vehicle,Electronics Industry,Belarus
Agc Flat Glass Czech,Glass,Automotive Industry,Czech Republic
Agco,Tractor,Industrial Manufacturing,United States
Agco Gmbh,Bar Mower,Manufacture Of Agricultural And Forestry Machinery,Germany
Ageas,Insurance,Financial Services,Belgium
Agencia Carabobeña De Noticias,News Agency,News Media,Venezuela
Agfa-Gevaert,Magnetic Tape,Photo Industry,Germany
Agfeo,Business Telephone System,Telecommunications,Germany
Agile Communications,Broadband,Telecommunications,United States
Agilebits,1Password,Software Industry,Canada
Agilent Technologies,Multi-Well Plate,Electronics Industry,United States
Agilent Technologies,Plate Reader,Measurement Tool,United States
Agilent Technologies,Scientific Instrument,Electronics Industry,United States
Agilent Technologies,Software,Electronics Industry,United States
Agility Pr Solutions,Media Monitoring,Public Relations,Canada
Agip,Automotive Lubricant,Petroleum Industry,Italy
Agip,Bitumen,Petroleum Industry,Italy
Agip,Diesel Fuel,Petroleum Industry,Italy
Agip,Fuel Oil,Petroleum Industry,Italy
Agip,Gasoline,Petroleum Industry,Italy
Agip,Grease,Petroleum Industry,Italy
Agip,Liquefied Petroleum Gas,Petroleum Industry,Italy
Agipgas,Natural Gas,Energy Industry,Italy
Agm Global Vision,Night Vision Device,Defense Industry,United States
Agnikul Cosmos,Agnibaan,Aerospace,India
Agnikul Cosmos,Launch Vehicle,Aerospace,India
Agr Automotive Group,Car,Automotive Industry,Russia
Agrale,Bus,Automotive Industry,Brazil
Agrale,Military Vehicle,Automotive Industry,Brazil
Agrale,Tractor,Automotive Industry,Brazil
Agrale,Truck,Automotive Industry,Brazil
Agricultural Bank Of China,Financial Services,Economics Of Banking,People'S Republic Of China
Agricultural Development Bank Of Ghana,Loan,Finance,Ghana
Agricultural Development Bank Of Zimbabwe,Loan,Financial Sector,Zimbabwe
Agrinar,Combine Harvester,Agricultural Machinery Industry,Argentina
Agrinar,Tractor,Agricultural Machinery Industry,Argentina
Agriprofi,Maintenance,Workshop,Finland
Agroindustrial Casa Grande,Sugar,Agribusiness,Peru
Agroindustrial Pomalca,Sugar,Agribusiness,Peru
Agropur,Butter,Dairy Industry,Canada
Agropur,Cheese,Dairy Industry,Canada
Agropur,Cream,Dairy Industry,Canada
Agropur,Ice Cream,Dairy Industry,Canada
Agropur,Milk,Dairy Industry,Canada
Agropur,Milk Powder,Dairy Industry,Canada
Agua Y Saneamientos Argentinos,Drinking Water,Sanitation,Argentina
Agua Y Saneamientos Argentinos,Sewer Service,Sanitation,Argentina
Aguas De Fontdalt Sa,Fontdalt,Food Manufacturer,Spain
Aguas Minerales De Caldas De Bohí Sa,Boí,Food Manufacturer,Spain
Aguas Minerales De San Narciso Sl,Bottled Water,Food Manufacturer,Spain
Aguas Minerales De San Narciso Sl,Flat Water,Food Manufacturer,Spain
